name,online_order,book_table,rate,votes,phone,location,rest_type,dish_liked,cuisines,approx_cost(for two people)
Vaho Kafe & Pressery,No,No,3.9/5,125,"+91 9845687999
080 41494199",Bannerghatta Road,Cafe,"Salad, Chicken Curry, Peri Peri Chicken, Thai Red Curry, Momos, Chicken Satay, Pasta","Cafe, Healthy Food, Asian, Italian, North Indian, Biryani, Juices",500
D View Cafe,Yes,No,4.0/5,507,+91 9538943596,JP Nagar,"Cafe, Quick Bites","Chicken Lollipop, Dragon Rolls, Pasta Alfredo, Chicken Pakora, Burgers, Cappuccino, Chicken Wings","Cafe, Italian, Chinese, Beverages","1,000"
The Cravery,Yes,No,2.6/5,18,+91 8042008011,JP Nagar,Cafe,,"Continental, Burger, Beverages, Cafe, Italian, Rolls",500
Cafe Arabica,No,No,3.8/5,69,"080 64442444
+91 8050042444",Bannerghatta Road,"Cafe, Bakery","Coffee, French Fries, Lemon Tea, Veg Sandwich","Cafe, Bakery",700
Brewz Coffee,Yes,No,3.0/5,61,080 41200232,BTM,Cafe,"Coffee, Sandwiches, Cappuccino",Cafe,650
Shee-Sha Cafe,No,Yes,3.6/5,39,+91 9739533445,Bannerghatta Road,"Cafe, Casual Dining",,"Cafe, North Indian, Chinese, Continental",800
D2V Cafe,No,No,3.6/5,13,"+91 9886986111
+91 8550051111",Bannerghatta Road,Cafe,,Cafe,700
Wellness Cafe,No,No,,0,+91 9900459444,Bannerghatta Road,Cafe,,"Cafe, Healthy Food",400
Cafe Choco Craze,No,No,3.7/5,9,"080 41713666
+91 8970970108",Bannerghatta Road,Cafe,,"Cafe, Fast Food, Desserts",400
Restro Cafe,Yes,No,3.8/5,30,"+91 9740206609
+91 9611828970",Jayanagar,Cafe,,Cafe,400
Hearts Unlock Cafe,No,No,3.2/5,11,"+91 9008143437
+91 7259710298",BTM,Cafe,,"Cafe, Healthy Food",500
Furry Fairy Paw Paradise,No,No,,0,"+91 9901222032
+91 9986450438",JP Nagar,Cafe,,Cafe,500
Cafe Mist,Yes,No,3.8/5,186,"+91 9742407147
+91 9538519419",JP Nagar,Cafe,"Barbecue Chicken Burger, Coffee, Ice Tea, Peri Peri Chicken, Pasta, Maggi, Nachos","Cafe, American, Continental, Italian",500
Insta Cafe,Yes,No,2.9/5,7,"080 43025801
+91 9148121314",BTM,Cafe,,"Cafe, Continental, Pizza, Italian, Beverages",400
Butterly,Yes,No,3.9/5,102,+91 7338636363,Bannerghatta Road,Cafe,"Burgers, Sandwiches, Pizza, French Fries, Cheesecake","Cafe, Bakery, Beverages",450
Cafe Arabica,No,No,3.8/5,69,"080 64442444
+91 8050042444",Bannerghatta Road,"Cafe, Bakery","Coffee, French Fries, Lemon Tea, Veg Sandwich","Cafe, Bakery",700
Cafe Choco Craze,No,No,3.7/5,9,"080 41713666
+91 8970970108",Bannerghatta Road,Cafe,,"Cafe, Fast Food, Desserts",400
Cafe Coffee Day,Yes,No,3.7/5,26,+91 9342303654,Bannerghatta Road,Cafe,,"Cafe, Fast Food",900
Slate Cafe,Yes,No,4.1/5,46,+91 8040923832,JP Nagar,Cafe,"Pasta, Sandwiches","Cafe, Sandwich, Burger",600
Cafe Zuppa,Yes,No,NEW,0,"+91 9845266234
+91 9980003501",JP Nagar,Cafe,,"Cafe, Pizza, Fast Food",450
TAB - Take A Break,No,No,4.1/5,521,"+91 9535133088
+91 9448157110",JP Nagar,Cafe,"Pizza, Salads, Pasta, Sandwiches, Veg Quiche, Coffee, Tea","Cafe, Continental, Italian",550
Tisano Cafe,Yes,No,3.8/5,54,+91 8884440087,Bannerghatta Road,Cafe,,"Cafe, Fast Food, Chinese, Continental",500
Cafe Kabana,No,Yes,4.0/5,200,"+91 8884044348
+91 8762989999",Bannerghatta Road,Cafe,"Mocktails, Peri Peri Chicken Pizza, Wings, Pasta, English Breakfast, Fries, Jalapeno Cheeseballs","Cafe, Continental",700
Butterly,Yes,No,3.9/5,102,+91 7338636363,Bannerghatta Road,Cafe,"Burgers, Sandwiches, Pizza, French Fries, Cheesecake","Cafe, Bakery, Beverages",450
Cafe Conico,No,No,NEW,0,+91 9747007662,Bannerghatta Road,Cafe,,"Cafe, Beverages",600
Black Mug Cafe,Yes,No,3.7/5,171,"+91 9845561119
+91 8095257151",Bannerghatta Road,Cafe,Coffee,Cafe,300
#refuel,Yes,No,3.7/5,37,+91 8971227222,Bannerghatta Road,Cafe,"Thick Shakes, Sandwiches, Pasta, Mocktails","Cafe, Beverages",400
Vaho Kafe & Pressery,No,No,3.9/5,124,"+91 9845687999
080 41494199",Bannerghatta Road,Cafe,"Salad, Chicken Curry, Peri Peri Chicken, Thai Red Curry, Momos, Chicken Satay, Pasta","Cafe, Healthy Food, Asian, Italian, North Indian, Biryani, Juices",500
Dreamcatcher,Yes,No,3.9/5,49,"+91 7090470823
+91 7996623818",Bannerghatta Road,Cafe,"English Breakfast, Sandwiches",Cafe,600
Cafe Coffee Day,No,No,3.6/5,19,+91 9071381530,Bannerghatta Road,Cafe,,"Cafe, Fast Food",900
Cafe Arabica,No,No,3.8/5,69,"080 64442444
+91 8050042444",Bannerghatta Road,"Cafe, Bakery","Coffee, French Fries, Lemon Tea, Veg Sandwich","Cafe, Bakery",700
Starbucks,No,No,3.9/5,52,,Bannerghatta Road,Cafe,,"Cafe, Desserts",700
Shee-Sha Cafe,No,Yes,3.6/5,39,+91 9739533445,Bannerghatta Road,"Cafe, Casual Dining",,"Cafe, North Indian, Chinese, Continental",800
D2V Cafe,No,No,3.6/5,13,"+91 9886986111
+91 8550051111",Bannerghatta Road,Cafe,,Cafe,700
Wellness Cafe,No,No,,0,+91 9900459444,Bannerghatta Road,Cafe,,"Cafe, Healthy Food",400
Cafe Talk,No,No,3.3/5,14,+91 9739174185,Bannerghatta Road,"Cafe, Casual Dining",,"Cafe, Continental, North Indian, Bakery, Desserts",700
Cafe Choco Craze,No,No,3.7/5,9,"080 41713666
+91 8970970108",Bannerghatta Road,Cafe,,"Cafe, Fast Food, Desserts",400
Brews N Bites,Yes,No,2.7/5,48,+91 9886791151,Bannerghatta Road,"Quick Bites, Cafe",Thin Crust Pizza,"Chinese, Fast Food, Cafe, Street Food, Finger Food",650
Mudpipe Cafe,Yes,Yes,3.9/5,727,+91 9448056565,JP Nagar,Cafe,"Coffee, Pizza, Nachos, Kit Kat Shake, Garlic Bread, Mexican Rice, Burgers","Cafe, Continental, North Indian",800
Crave Bit Cafe,No,No,NEW,0,080 42061006,JP Nagar,Cafe,,Cafe,600
TAB - Take A Break,No,No,4.1/5,521,"+91 9535133088
+91 9448157110",JP Nagar,Cafe,"Pizza, Salads, Pasta, Sandwiches, Veg Quiche, Coffee, Tea","Cafe, Continental, Italian",550
Onesta,Yes,Yes,4.4/5,4381,"+91 8904001150
+91 8904001151",JP Nagar,"Casual Dining, Cafe","Chicken Alfredo Pizza, Coffee Mousse, Chicken Calzone, Banana Smoothie, Butter Chicken Pizza, Chocolate Pizza, Chicken Tikka Pizza","Pizza, Cafe, Italian",600
Cafe Potpourri,Yes,No,3.7/5,132,"+91 8884553680
+91 7026274274",JP Nagar,Cafe,"Poha, Coffee, Pav Bhaji, Masala Chai, Sattu Paratha, Sandwich","Cafe, Sandwich, North Indian, Beverages, Desserts",400
De Oxford Cafe,No,No,3.7/5,34,080 48530740,JP Nagar,Cafe,,"Cafe, Beverages, Fast Food",500
Vinaya Coffee Moments,Yes,No,3.8/5,46,"+91 9538699211
080 49566825",JP Nagar,Cafe,"Filter Coffee, Pizza, Pasta","Burger, Cafe, Desserts, Sandwich, Italian",450
Brew Point,Yes,No,3.6/5,10,+91 9741010084,JP Nagar,Cafe,,"Cafe, American, Burger, Sandwich, Fast Food",500
The Cravery,Yes,No,2.6/5,18,+91 8042008011,JP Nagar,Cafe,,"Continental, Burger, Beverages, Cafe, Italian, Rolls",500
Cuppa,No,No,3.4/5,48,080 40939471,JP Nagar,Cafe,"Coffee, Potato Wedges, Tea","Cafe, Fast Food",550
Anju's Cafe,No,No,3.4/5,6,+91 9845036605,JP Nagar,Cafe,,"Cafe, North Indian",600
Skytouch Le Cafe,Yes,No,3.7/5,127,"080 40932483
+91 9740848803",JP Nagar,Cafe,"Pizza, Pasta, Bubble Tea, Brownie, Pancakes, Cheesy Garlic Bread, Chocolate Waffles","Cafe, Italian, Desserts",700
Hearts Unlock Cafe,No,No,3.2/5,11,"+91 9008143437
+91 7259710298",BTM,Cafe,,"Cafe, Healthy Food",500
San Churro Cafe,Yes,No,3.8/5,918,+91 9663487993,Banashankari,"Cafe, Casual Dining","Churros, Cannelloni, Minestrone Soup, Hot Chocolate, Pink Sauce Pasta, Salsa, Veg Supreme Pizza","Cafe, Mexican, Italian",800
Tea Villa Cafe,No,Yes,4.3/5,633,080 49653143,Jayanagar,"Cafe, Casual Dining","Tea, Waffles, Coffee, Nutella Waffle, Pizza, Wedges, Pasta","Cafe, Continental, Mediterranean, Italian, Desserts",800
Cafe Cosy,No,Yes,4.1/5,102,080 49653354,Jayanagar,Cafe,"Pasta, Pizza, Mocktails","Cafe, Chinese, Continental, Fast Food",800
Onesta,Yes,Yes,4.6/5,1755,+91 8049525686,Basavanagudi,"Casual Dining, Cafe","Barbeque Chicken Pizza, Mushroom Ravioli, Pasta, Lasagne, Berryblast, Mocktails, Potato Wedges","Pizza, Cafe, Italian",600
Steaming Mugs,Yes,No,3.9/5,240,"+91 9341234538
+91 9886414790",Basavanagudi,Cafe,"Fries, Oreo Shake, Pasta Arrabiata",Cafe,700
Srinathji's Cafe,No,No,3.8/5,148,"080 26600704
+91 9342593424",Basavanagudi,"Casual Dining, Cafe","Paratha, Sandwich, Chilli Idli, Noodles, Sandwiches, Lime Soda","North Indian, Cafe, Chinese, Fast Food",550
Redberrys,Yes,No,4.0/5,219,+91 9148421256,Basavanagudi,Cafe,"Pizza, Fries, Anjeer Ice Cream, Sandwiches, Gelato, Burgers, Kesar Badam","Cafe, Italian",600
Cafe Aira,Yes,No,4.1/5,216,"+91 9980570955
080 41121975",Basavanagudi,Cafe,"Pasta, Nachos, Jalapeno Poppers, Burrito Bowl, Ferrero Rocher Shake, Falafal Sandwich, Banana Waffles","Cafe, Continental, Beverages, Desserts",500
Cafe Mondo,Yes,No,3.7/5,514,080 42088686,Basavanagudi,Cafe,"Pizza, Pasta Alfredo, Brownie, Garlic Bread, Sandwiches, Lemon Mojito, Mocha Fudge","Cafe, Italian, Beverages",600
1980s Games Cafe,Yes,No,3.4/5,58,080 41677077,Basavanagudi,Cafe,"Maggi, Pasta, Burgers, Sandwiches, Fries","Cafe, Fast Food",400
Cafe Coffee Day,Yes,No,2.8/5,30,080 32569590,Basavanagudi,Cafe,,"Cafe, Fast Food",900
Go Native,Yes,Yes,4.3/5,1252,080 49653539,Jayanagar,"Casual Dining, Cafe","Mushroom Soup, Salads, Halwa, Thali, Salad, Millet Pizza, Misal Pav","Healthy Food, Cafe, Beverages",800
Alchemy Coffee Roasters,No,No,4.2/5,704,+91 8762473937,Jayanagar,Cafe,"Coffee, Fries, Sandwich, Pizza, Pancakes, Pasta, Hot Chocolate",Cafe,500
Rooftop Cafe,Yes,No,4.1/5,796,"080 26544411
+91 8050712836",Jayanagar,Cafe,"Pizza, Nachos, Rolls, Veggie Roll, Sandwiches, Burgers, Mango Shake","Cafe, Fast Food, Beverages",400
Enerjuvate Studio & Cafe,No,Yes,4.2/5,731,"080 41462929
+91 8598866594",Jayanagar,Cafe,"Pizza, Vegetarian, Momo Platter, Momos, Nachos, Salsa, Salad","Cafe, Continental, Beverages, Healthy Food, Desserts, Sandwich, Pizza, Salad",800
Fabcafe,No,Yes,NEW,0,+91 8050403072,Jayanagar,Cafe,,"Cafe, Healthy Food",800
The Caramelts Cafe,No,No,4.2/5,223,080 26544799,Jayanagar,Cafe,"Burgers, Coffee, Pasta, Peri Peri Fries, Kit Kat Shake, Nachos, Paneer Tikka Pizza","Cafe, Salad, Wraps, Beverages",800
SlimSins Cafe,No,No,4.1/5,707,+91 9535582766,Jayanagar,Cafe,"Hummus Platter, Juicy Lamb Burger, Salmon Steak, Mousse, Pasta, Pizza, Sweet Potato Fries","Cafe, Healthy Food",850
Cafe Ajfan,Yes,No,4.2/5,261,"+91 7022022107
+91 9606791771",Jayanagar,Cafe,"Sandwiches, Pasta, Cobb Salad, Pizza, Burgers, Calzone, Fries","Cafe, Continental, Beverages",700
Cafe Shuffle,Yes,Yes,4.2/5,150,+91 9742166777,Banashankari,Cafe,"Mocktails, Peri Fries, Lasagne, Pizza, Chicken Bbq Wings, Virgin Mojito, Nachos","Cafe, Italian, Continental",600
Krazzy Folds,Yes,Yes,4.2/5,1901,080 49652953,Jayanagar,Cafe,"Pasta, Tacos, Macaroni, Panna Cotta, Salads, Spaghetti, Churros","Cafe, Continental, Sandwich, Beverages",800
Penthouse Cafe,Yes,No,4.0/5,324,"+91 8884135549
+91 9449449316",Banashankari,Cafe,"Pizza, Mocktails, Coffee, Nachos, Salad, Pasta, Sandwiches","Cafe, Italian, Continental",700
The Blue Wagon - Kitchen,Yes,No,4.6/5,228,"+91 8105485007
+91 8095904280",Jayanagar,Cafe,"Pizza, Nachos, Garlic Maggi, Burgers, Cheese Maggi, Bruschetta Bites, Sandwich","Cafe, Beverages",400
Smacznego,Yes,No,4.2/5,504,"+91 9945230807
+91 9743804471",Banashankari,Cafe,"Waffles, Pasta, Coleslaw Sandwich, Choco Waffle, Tacos, Momos, Cheese Nachos","Cafe, Mexican, Italian, Momos, Beverages",550
The Airos,Yes,No,4.1/5,130,+91 7026390001,Jayanagar,Cafe,"Pizza, Pasta, Nachos, Burgers, Sandwich, Tea, Cheese Balls","Cafe, Italian, Pizza",650
Starbucks,No,No,4.1/5,108,,Jayanagar,Cafe,Coffee,"Cafe, Desserts",700
San Churro Cafe,Yes,No,3.8/5,918,+91 9663487993,Banashankari,"Cafe, Casual Dining","Churros, Cannelloni, Minestrone Soup, Hot Chocolate, Pink Sauce Pasta, Salsa, Veg Supreme Pizza","Cafe, Mexican, Italian",800
Cafe Vivacity,Yes,No,3.8/5,90,"080 26768182
+91 9845704455",Banashankari,Cafe,"Garlic Bread, Burgers, Sandwiches, Pizza, Hot Chocolate Fudge, Waffles, Potato Wedges",Cafe,650
The Studio Cafe,No,No,3.8/5,20,+91 7349525913,Jayanagar,Cafe,,"Cafe, Beverages",400
Cafe Terra,Yes,No,NEW,0,+91 8042111103,Jayanagar,Cafe,,"Cafe, Continental",700
Kirthi's Biryani,Yes,No,3.8/5,144,"080 26711554
+91 9741406338",Banashankari,Cafe,"Pasta, Gelato, Garlic Bread, Mojito, Nachos, Paneer Pizza, Mocktails","Chinese, Cafe, Italian",700
La Grande Cafe,No,No,3.8/5,46,+91 9845525205,Jayanagar,Cafe,"Coffee, Hot Chocolate, Cappuccino, Ice Tea, Corn Balls",Cafe,400
4th Tea Block,No,No,4.0/5,62,"+91 9844033353
+91 6361276770",Jayanagar,Cafe,"Rose Tea, Hibiscus Tea, Masala Chai, Ginger Tea",Cafe,150
Grazers,Yes,Yes,3.9/5,291,080 26650668,Jayanagar,Cafe,"Burgers, Panneer Butter Masala, Pasta, Hot Dog, Fries, Cheesy Pizza, Potato Wedges","Cafe, Burger, Continental, Italian, Desserts",650
Cuppa,No,No,3.2/5,59,"080 26564445
+91 9986833382",Jayanagar,"Cafe, Casual Dining","Coffee, Sandwich","Cafe, Fast Food",550
Coffee Tindi,Yes,No,3.8/5,75,+91 9945758046,Banashankari,"Cafe, Quick Bites",,"Cafe, South Indian",200
Brews N Bites,Yes,No,2.9/5,62,"+91 9886791151
+91 9886439454",Jayanagar,"Quick Bites, Cafe","Coffee, Cappuccino","Chinese, Fast Food, Cafe",650
Brew Bakes,No,No,3.4/5,13,+91 8897633146,Jayanagar,Cafe,,"Cafe, Continental, Italian",550
Bread and Circus,Yes,No,3.7/5,50,"+91 7829906817
+91 7349541673",Shanti Nagar,Cafe,,"Cafe, Fast Food, Pizza, Burger",550
Java City,Yes,No,2.6/5,157,080 41654693,Jayanagar,Cafe,"Coffee, Sandwich, Hot Chocolate, Ice Tea, Sandwiches, Chicken Lasagne, Pizza","Cafe, American, Pizza",450
Swati Cafe,No,No,2.9/5,8,+91 9880118888,Shanti Nagar,Cafe,,"Cafe, Fast Food",500
Chaai Resto,No,No,,0,+91 9071361519,Jayanagar,Cafe,,"Cafe, Beverages, Fast Food, Rolls",300
Sea Green Cafe,No,No,3.3/5,4,+91 9008628448,Banashankari,Cafe,,"Cafe, Fast Food, Beverages",500
Rustic Treats,No,No,3.3/5,4,+91 9946666099,Jayanagar,"Quick Bites, Cafe",,"Street Food, Cafe",400
360 Atoms Restaurant And Cafe,Yes,No,3.1/5,13,+91 9880594520,Banashankari,Cafe,,"Cafe, Chinese, Continental, Italian",400
People Tree Cafe,No,No,3.7/5,168,+91 9886086452,Jayanagar,Cafe,"Chocolate Shake, Nachos, Babycorn Manchurian, Cheese Maggi, French Fries, Tea, Oreo Shake","Cafe, Fast Food, Beverages",400
Smacznego,Yes,No,4.2/5,504,"+91 9945230807
+91 9743804471",Banashankari,Cafe,"Waffles, Pasta, Coleslaw Sandwich, Choco Waffle, Tacos, Momos, Cheese Nachos","Cafe, Mexican, Italian, Momos, Beverages",550
Onesta,Yes,Yes,4.6/5,2556,"080 48653961
080 48655715",Banashankari,"Casual Dining, Cafe","Farmhouse Pizza, Chocolate Banana, Virgin Mojito, Pasta, Paneer Tikka, Lime Soda, Prawn Pizza","Pizza, Cafe, Italian",600
Grazers,Yes,Yes,3.9/5,291,080 26650668,Jayanagar,Cafe,"Burgers, Panneer Butter Masala, Pasta, Hot Dog, Fries, Cheesy Pizza, Potato Wedges","Cafe, Burger, Continental, Italian, Desserts",650
Tummy Fuel,Yes,No,4.2/5,449,"+91 9008558558
+91 9845792610",Jayanagar,Cafe,"Sandwiches, Salads, Panipuri, Gol Gappe, Pizza Sandwich, Cheesy Pizza, Pancakes","Cafe, Beverages, Fast Food",400
Cafe Coffee Day,Yes,No,3.4/5,15,+91 9341925274,Banashankari,Cafe,,"Cafe, Fast Food",900
Pancuzzi,Yes,No,4.2/5,169,+91 9742737794,JP Nagar,Cafe,"Waffles, Burgers, Masala Fries, Crunchy Veg Burger, Tiramisu, Chocolate Pancakes, Oreo Shake","Cafe, Beverages, Desserts",600
Catch-up-ino,Yes,No,3.9/5,133,"+91 9972988038
+91 9900121238",Banashankari,Cafe,"Momos, Mushroom Bruschettas, Jalapeno Cheeseballs, Pasta, Red Velvet Shake, Red Velvet Milkshake, Maggi","Cafe, Fast Food, Continental, Chinese, Momos",800
Go Native,Yes,Yes,4.3/5,1252,080 49653539,Jayanagar,"Casual Dining, Cafe","Mushroom Soup, Salads, Halwa, Thali, Salad, Millet Pizza, Misal Pav","Healthy Food, Cafe, Beverages",800
Rooftop Cafe,Yes,No,4.1/5,796,"080 26544411
+91 8050712836",Jayanagar,Cafe,"Pizza, Nachos, Rolls, Veggie Roll, Sandwiches, Burgers, Mango Shake","Cafe, Fast Food, Beverages",400
San Churro Cafe,Yes,No,3.8/5,918,+91 9663487993,Banashankari,"Cafe, Casual Dining","Churros, Cannelloni, Minestrone Soup, Hot Chocolate, Pink Sauce Pasta, Salsa, Veg Supreme Pizza","Cafe, Mexican, Italian",800
Steaming Mugs,Yes,No,3.9/5,240,"+91 9341234538
+91 9886414790",Basavanagudi,Cafe,"Fries, Oreo Shake, Pasta Arrabiata",Cafe,700
Bakers Town,Yes,No,3.6/5,41,+91 7411103666,BTM,Cafe,"Fries, Pasta, Chicken Burger, Sandwich, Burgers, Monster Burger","Cafe, Continental, Fast Food",700
Penthouse Cafe,Yes,No,4.0/5,324,"+91 8884135549
+91 9449449316",Banashankari,Cafe,"Pizza, Mocktails, Coffee, Nachos, Salad, Pasta, Sandwiches","Cafe, Italian, Continental",700
Cafe Shuffle,Yes,Yes,4.2/5,150,+91 9742166777,Banashankari,Cafe,"Mocktails, Peri Fries, Lasagne, Pizza, Chicken Bbq Wings, Virgin Mojito, Nachos","Cafe, Italian, Continental",600
Cross Road Cafe,Yes,No,3.9/5,91,080 41247022,Jayanagar,Cafe,"Momos, Burgers, Rolls, Sandwich, Hot Chocolate, Tea, Naga Thali","Cafe, Fast Food, Chinese",300
Little Cafe,Yes,No,3.7/5,54,+91 9741248269,Basavanagudi,Cafe,"Pasta, Pizza, Burgers, Pancakes, Garlic Bread","Cafe, Beverages",600
Cafe Ajfan,Yes,No,4.2/5,261,"+91 7022022107
+91 9606791771",Jayanagar,Cafe,"Sandwiches, Pasta, Cobb Salad, Pizza, Burgers, Calzone, Fries","Cafe, Continental, Beverages",700
Mudpipe Cafe,Yes,Yes,4.5/5,1872,+91 9631220007,BTM,Cafe,"Chaat, Nachos, Peri Peri Pizza, Wedges, Milk Shake, Pink Lemonade, Pasta","Cafe, Continental, Burger",900
Marzipan @ The Bohemian House,Yes,No,4.2/5,49,+91 8447380380,Richmond Road,Cafe,,Cafe,700
Kirthi's Biryani,Yes,No,3.8/5,144,"080 26711554
+91 9741406338",Banashankari,Cafe,"Pasta, Gelato, Garlic Bread, Mojito, Nachos, Paneer Pizza, Mocktails","Chinese, Cafe, Italian",700
Cafe Mondo,Yes,No,3.7/5,514,080 42088686,Basavanagudi,Cafe,"Pizza, Pasta Alfredo, Brownie, Garlic Bread, Sandwiches, Lemon Mojito, Mocha Fudge","Cafe, Italian, Beverages",600
Mug N Bean,Yes,No,3.9/5,247,+91 9035203926,Jayanagar,Cafe,"Maggi, Pasta, Burgers, Grilled Sandwich, Latte, French Fries","Cafe, Continental, Italian, Burger",400
My Tea House,Yes,No,3.6/5,62,"080 65975430
+91 7337733798",Banashankari,"Quick Bites, Cafe","Pasta, Iced Tea","Italian, Fast Food, Cafe, European",600
360 Atoms Restaurant And Cafe,Yes,No,3.1/5,13,+91 9880594520,Banashankari,Cafe,,"Cafe, Chinese, Continental, Italian",400
Black Cup Cafe,Yes,No,3.7/5,20,+91 9972567777,BTM,Cafe,,"Cafe, Fast Food, Beverages",400
The Airos,Yes,No,4.1/5,130,+91 7026390001,Jayanagar,Cafe,"Pizza, Pasta, Nachos, Burgers, Sandwich, Tea, Cheese Balls","Cafe, Italian, Pizza",650
Bread and Circus,Yes,No,3.7/5,50,"+91 7829906817
+91 7349541673",Shanti Nagar,Cafe,,"Cafe, Fast Food, Pizza, Burger",550
Cafe Vivacity,Yes,No,3.8/5,90,"080 26768182
+91 9845704455",Banashankari,Cafe,"Garlic Bread, Burgers, Sandwiches, Pizza, Hot Chocolate Fudge, Waffles, Potato Wedges",Cafe,650
Java City,Yes,No,2.6/5,157,080 41654693,Jayanagar,Cafe,"Coffee, Sandwich, Hot Chocolate, Ice Tea, Sandwiches, Chicken Lasagne, Pizza","Cafe, American, Pizza",450
Coffee Tindi,Yes,No,3.8/5,75,+91 9945758046,Banashankari,"Cafe, Quick Bites",,"Cafe, South Indian",200
The Blue Wagon - Kitchen,Yes,No,4.6/5,228,"+91 8105485007
+91 8095904280",Jayanagar,Cafe,"Pizza, Nachos, Garlic Maggi, Burgers, Cheese Maggi, Bruschetta Bites, Sandwich","Cafe, Beverages",400
Willys Top Cafe,Yes,No,4.0/5,308,"+91 7795808555
00 09176703991",Jayanagar,Cafe,"Coffee Shake, Pasta, Buffalo Wings, Sandwich, Chicken Wings, Burgers, Fries","Cafe, Continental, Asian",750
Srinathji's Cafe,No,No,3.8/5,148,"080 26600704
+91 9342593424",Basavanagudi,"Casual Dining, Cafe","Paratha, Sandwich, Chilli Idli, Noodles, Sandwiches, Lime Soda","North Indian, Cafe, Chinese, Fast Food",550
D View Cafe,Yes,No,4.0/5,507,+91 9538943596,JP Nagar,"Cafe, Quick Bites","Chicken Lollipop, Dragon Rolls, Pasta Alfredo, Chicken Pakora, Burgers, Cappuccino, Chicken Wings","Cafe, Italian, Chinese, Beverages","1,000"
Cafe Aira,Yes,No,4.1/5,216,"+91 9980570955
080 41121975",Basavanagudi,Cafe,"Pasta, Nachos, Jalapeno Poppers, Burrito Bowl, Ferrero Rocher Shake, Falafal Sandwich, Banana Waffles","Cafe, Continental, Beverages, Desserts",500
Krazzy Folds,Yes,Yes,4.2/5,1901,080 49652953,Jayanagar,Cafe,"Pasta, Tacos, Macaroni, Panna Cotta, Salads, Spaghetti, Churros","Cafe, Continental, Sandwich, Beverages",800
Crafted Plate,Yes,Yes,4.2/5,237,"080 43023198
+91 8050088287",JP Nagar,"Casual Dining, Cafe","Burgers, Egg Salad, Pasta, Pancakes, Lasagne, Pizza, Lime Soda","Cafe, Asian, Burger, Continental, Italian, Salad",600
Cafe 221B,Yes,Yes,3.7/5,49,"+91 7899022907
+91 9895765188",BTM,Cafe,,"Cafe, Beverages",300
1980s Games Cafe,Yes,No,3.4/5,58,080 41677077,Basavanagudi,Cafe,"Maggi, Pasta, Burgers, Sandwiches, Fries","Cafe, Fast Food",400
Restro Cafe,Yes,No,3.8/5,30,"+91 9740206609
+91 9611828970",Jayanagar,Cafe,,Cafe,400
Brews N Bites,Yes,No,2.9/5,62,"+91 9886791151
+91 9886439454",Jayanagar,"Quick Bites, Cafe","Coffee, Cappuccino","Chinese, Fast Food, Cafe",650
Redberrys,Yes,No,4.0/5,219,+91 9148421256,Basavanagudi,Cafe,"Pizza, Fries, Anjeer Ice Cream, Sandwiches, Gelato, Burgers, Kesar Badam","Cafe, Italian",600
Enerjuvate Studio & Cafe,No,Yes,4.2/5,731,"080 41462929
+91 8598866594",Jayanagar,Cafe,"Pizza, Vegetarian, Momo Platter, Momos, Nachos, Salsa, Salad","Cafe, Continental, Beverages, Healthy Food, Desserts, Sandwich, Pizza, Salad",800
Cafe Cosy,No,Yes,4.1/5,102,080 49653354,Jayanagar,Cafe,"Pasta, Pizza, Mocktails","Cafe, Chinese, Continental, Fast Food",800
Cafe Terra,Yes,No,NEW,0,+91 8042111103,Jayanagar,Cafe,,"Cafe, Continental",700
4th Tea Block,No,No,4.0/5,62,"+91 9844033353
+91 6361276770",Jayanagar,Cafe,"Rose Tea, Hibiscus Tea, Masala Chai, Ginger Tea",Cafe,150
Cuppa,No,No,3.2/5,59,"080 26564445
+91 9986833382",Jayanagar,"Cafe, Casual Dining","Coffee, Sandwich","Cafe, Fast Food",550
Rustic Treats,No,No,3.3/5,4,+91 9946666099,Jayanagar,"Quick Bites, Cafe",,"Street Food, Cafe",400
Cafe Mist,Yes,No,3.8/5,186,"+91 9742407147
+91 9538519419",JP Nagar,Cafe,"Barbecue Chicken Burger, Coffee, Ice Tea, Peri Peri Chicken, Pasta, Maggi, Nachos","Cafe, American, Continental, Italian",500
Redberrys,Yes,No,4.0/5,219,+91 9148421256,Basavanagudi,Cafe,"Pizza, Fries, Anjeer Ice Cream, Sandwiches, Gelato, Burgers, Kesar Badam","Cafe, Italian",600
Cafe Aira,Yes,No,4.1/5,216,"+91 9980570955
080 41121975",Basavanagudi,Cafe,"Pasta, Nachos, Jalapeno Poppers, Burrito Bowl, Ferrero Rocher Shake, Falafal Sandwich, Banana Waffles","Cafe, Continental, Beverages, Desserts",500
Tea Villa Cafe,No,Yes,4.3/5,633,080 49653143,Jayanagar,"Cafe, Casual Dining","Tea, Waffles, Coffee, Nutella Waffle, Pizza, Wedges, Pasta","Cafe, Continental, Mediterranean, Italian, Desserts",800
